cve_ent,entidad,cve_plantel,plantel,periodo_semestral,Porcentaje_de_abandono_escolar
30,Veracruz Llave,162,Manuel Rivera Cambas,2021_2022,9.2
30,Veracruz Llave,252,Orizaba,2021_2022,4.5
30,Veracruz Llave,103,Potrero,2021_2022,10.8
30,Veracruz Llave,177,Poza Rica,2021_2022,7.9
30,Veracruz Llave,320,Vega de Alatorre,2021_2022,12.7
30,Veracruz Llave,57,Veracruz I,2021_2022,8.4
30,Veracruz Llave,144,Veracruz II,2021_2022,9.7
31,Yucatán,59,Mérida I,2021_2022,16.5
31,Yucatán,60,Mérida II,2021_2022,20.1
31,Yucatán,324,Mérida III,2021_2022,14
31,Yucatán,164,Tizimin,2021_2022,8.7
31,Yucatán,105,Valladolid,2021_2022,9.5
32,Zacatecas,137,Fresnillo,2021_2022,29.8
32,Zacatecas,136,Maestra Dolores Castro Varela,2021_2022,24.3
32,Zacatecas,326,Mazapil,2021_2022,22.6
,,,,,
,CONALEP,,CONALEP,,14.8
