entidad,cve_plantel,plantel,periodo_semestral,Porcentaje_de_abandono_escolar
Sinaloa,114.0,Ing. José Antonio Padilla Segura-Culiacán II,2021_2022,10.2
Sinaloa,95.0,Juan de Dios Bátiz,2021_2022,7.4
Sinaloa,117.0,Juan José Ríos,2021_2022,8.7
Sinaloa,120.0,La Reforma,2021_2022,13.4
Sinaloa,45.0,Los Mochis,2021_2022,5.5
Sinaloa,315.0,Los Mochis II,2021_2022,18.2
Sinaloa,46.0,Mazatlán I,2021_2022,4.8
Sinaloa,62.0,Mazatlán II,2021_2022,9.3
Sinaloa,119.0,Mocorito,2021_2022,15.2
Sinaloa,115.0,Navolato,2021_2022,8.1
Sonora,253.0,Agua Prieta,2021_2022,20.7
Sonora,141.0,Alvaro Obregón Salido - Huatabampo,2021_2022,18.5
Sonora,148.0,Caborca,2021_2022,17.8
Sonora,96.0,Ciudad Obregón,2021_2022,14.9
Sonora,97.0,Empalme,2021_2022,10.5
Sonora,50.0,Gral. Plutarco Elías Calles - Guaymas,2021_2022,15.5
Sonora,47.0,Hermosillo I,2021_2022,15.8
Sonora,48.0,Hermosillo II,2021_2022,25.1
Sonora,179.0,Hermosillo III,2021_2022,16.0
Sonora,264.0,Magdalena de Kino,2021_2022,10.8
Sonora,49.0,Nacozari,2021_2022,12.5
Sonora,140.0,Navojoa,2021_2022,15.0
Sonora,142.0,Nogales,2021_2022,17.3
Sonora,202.0,San Luis Río Colorado,2021_2022,9.0
Tabasco,52.0,Cárdenas,2021_2022,8.9
Tabasco,291.0,Comalcalco,2021_2022,4.6
Tabasco,99.0,Lic. Manrique Dagdug Urgell,2021_2022,10.1
Tabasco,53.0,Macuspana,2021_2022,3.2
Tabasco,100.0,Paraíso,2021_2022,6.7
Tabasco,51.0,Villahermosa I,2021_2022,7.2
Tabasco,98.0,Villahermosa II,2021_2022,6.7
Tamaulipas,127.0,Ciudad Mante,2021_2022,12.6
Tamaulipas,172.0,Ciudad Victoria,2021_2022,2.9
Tamaulipas,55.0,Matamoros,2021_2022,4.3
Tamaulipas,259.0,Miguel Alemán,2021_2022,14.0
Tamaulipas,246.0,Nuevo Laredo,2021_2022,6.6
Tamaulipas,129.0,Reynosa,2021_2022,11.2
Tamaulipas,200.0,Río Bravo,2021_2022,4.8
Tamaulipas,54.0,Tampico,2021_2022,5.4
Tlaxcala,56.0,Amaxac de Guerrero,2021_2022,9.4
Tlaxcala,251.0,Teacalco,2021_2022,5.5
Tlaxcala,101.0,Zacualpan,2021_2022,6.8
Veracruz Llave,337.0,Alamo,2021_2022,3.4
Veracruz Llave,338.0,Cordoba,2021_2022,11.8
Veracruz Llave,58.0,Don Juan Osorio López,2021_2022,8.1
Veracruz Llave,122.0,Dr. Gonzalo Aguirre Beltrán,2021_2022,7.4
Veracruz Llave,201.0,Dr. Guillermo Figueroa Cárdenas,2021_2022,7.0
Veracruz Llave,104.0,Juan Díaz Covarrubias,2021_2022,2.4
Veracruz Llave,165.0,Lic. Jesús Reyes Heroles,2021_2022,10.1
Veracruz Llave,244.0,Manuel Maples Arce,2021_2022,2.2
Veracruz Llave,162.0,Manuel Rivera Cambas,2021_2022,9.2
Veracruz Llave,252.0,Orizaba,2021_2022,4.5
Veracruz Llave,103.0,Potrero,2021_2022,10.8
Veracruz Llave,177.0,Poza Rica,2021_2022,7.9
Veracruz Llave,320.0,Vega de Alatorre,2021_2022,12.7
Veracruz Llave,57.0,Veracruz I,2021_2022,8.4
Veracruz Llave,144.0,Veracruz II,2021_2022,9.7
Yucatán,59.0,Mérida I,2021_2022,16.5
Yucatán,60.0,Mérida II,2021_2022,20.1
Yucatán,324.0,Mérida III,2021_2022,14.0
Yucatán,164.0,Tizimin,2021_2022,8.7
Yucatán,105.0,Valladolid,2021_2022,9.5
Zacatecas,137.0,Fresnillo,2021_2022,29.8
Zacatecas,136.0,Maestra Dolores Castro Varela,2021_2022,24.3
Zacatecas,326.0,Mazapil,2021_2022,22.6
